Person:,Organization:
 Ethan Fetaya,University of Toronto
 Lisa Zhang,University of Toronto
 KiJung Yoon,The University of Texas at Austin
 Zachary S Pitkow,Baylor College of Medicine / Rice University
 Raquel Urtasun,University of Toronto
 Richard Zemel,Vector Institute
Arpit Agarwal,University of Pennsylvania
 Prathamesh Patil,University of Pennsylvania
 Shivani Agarwal,University of Pennsylvania
Wenlong Mou,UC Berkeley
 Yuchen Zhou,"University of Wisconsin, Madison"
 Jun Gao,Peking University
 Liwei Wang,Peking University
Shinji Ito,NEC Corporation
 Akihiro Yabe,NEC Corporation
 Ryohei Fujimaki,-
Lukas Balles,Max Planck Institute for Intelligent Systems
 Philipp Hennig,University of Tübingen
Yancheng Yuan,National University of Singapore
 Defeng Sun,The Hong Kong Polytechnic University
 Kim-Chuan Toh,National University of Singapre
Stephen Tu,UC Berkeley
 Benjamin Recht,Berkeley
Thomas Laurent,Loyola Marymount University
 James von Brecht,CSULB
Jiong Zhang,University of Texas at Austin
 Yibo Lin,UT-Austin
 Zhao Song,UT-Austin
 Inderjit Dhillon,UT Austin & Amazon
Dominik Janzing,Amazon Research Tübingen
 Bernhard Schölkopf,"MPI for Intelligent Systems Tübingen, Germany"
Andrea Tirinzoni,Politecnico di Milano
 Andrea Sessa,Politecnico di Milano
 Matteo Pirotta,SequeL - Inria Lille - Nord Europe
 Marcello Restelli,Politecnico di Milano
Yi Wu,UC Berkeley
 Siddharth Srivastava,Arizona State University
 Nicholas Hay,
 Simon Du,Carnegie Mellon University
 Stuart Russell,UC Berkeley
Zaiyi Chen,University of Science and Technology of China
 Yi Xu,The University of Iowa
 Enhong Chen,University of Science and Technology of China
 Tianbao Yang,The University of Iowa
Quynh Nguyen,Saarland University
 Matthias Hein,University of Tuebingen
Rie Johnson,RJ Research Consulting
 Tong Zhang,Tecent AI Lab
Arnu Pretorius,Stellenbosch University
 Steve Kroon,Stellenbosch University
 Herman Kamper,Stellenbosch University
Samuli Laine,NVIDIA Research
 Timo Aila,NVIDIA
 Jaakko Lehtinen,Aalto University & NVIDIA
 Tero Karras,NVIDIA
 Jacob Munkberg,NVIDIA
 Jon Hasselgren,NVIDIA
 Miika Aittala,MIT
Muhammad Osama,Uppsala University
 Dave Zachariah,Uppsala University
 Thomas Schön,Uppsala University
Kaiwen Zhou,The Chinese University of Hong Kong
 Fanhua Shang,Xidian University
 James Cheng,CUHK
Zeyuan Allen-Zhu,Microsoft Research AI
Yasuhiro Fujita,"Preferred Networks, Inc."
 Shin-ichi Maeda,"Preferred Networks, Inc."
Andrey Zhitnikov,Technion
 Rotem Mulayoff,Technion
 Tomer Michaeli,Technion
Akifumi Okuno,Kyoto University; RIKEN AIP
 Tetsuya Hada,Recruit Technologies Co. Ltd.
 Hidetoshi Shimodaira,Kyoto University / RIKEN AIP
Daphna Weinshall,"Hebrew University of Jerusalem, Israel"
